route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
04_2,FULLW,04_2_PM_9,,,,
04_2,FULLW,04_2_PM_10,,,,
04_2,FULLW,04_2_PM_11,,,,
04_2,FULLW,04_2_PM_12,,,,
04_2,FULLW,04_2_PM_13,,,,
04_2,FULLW,04_2_PM_14,,,,
04_2,FULLW,04_2_PM_15,,,,
04_2,FULLW,04_2_PM_16,,,,
04_2,FULLW,04_2_PM_17,,,,
04_2,FULLW,04_2_PM_18,,,,
05_1,FULLW,05_1_PM_1,,,,
05_1,FULLW,05_1_PM_2,,,,
05_1,FULLW,05_1_PM_3,,,,
05_1,FULLW,05_1_PM_4,,,,
05_1,FULLW,05_1_PM_5,,,,
05_1,FULLW,05_1_PM_6,,,,
05_1,FULLW,05_1_PM_7,,,,
05_1,FULLW,05_1_PM_8,,,,
05_1,FULLW,05_1_PM_9,,,,
05_1,FULLW,05_1_PM_10,,,,
05_1,FULLW,05_1_PM_11,,,,
05_1,FULLW,05_1_PM_12,,,,
05_1,FULLW,05_1_PM_13,,,,
05_1,FULLW,05_1_PM_14,,,,
05_2,FULLW,05_2_PM_1,,,,
05_2,FULLW,05_2_PM_2,,,,
05_2,FULLW,05_2_PM_3,,,,
05_2,FULLW,05_2_PM_4,,,,
05_2,FULLW,05_2_PM_5,,,,
05_2,FULLW,05_2_PM_6,,,,
05_2,FULLW,05_2_PM_7,,,,
05_2,FULLW,05_2_PM_8,,,,
05_2,FULLW,05_2_PM_9,,,,
05_2,FULLW,05_2_PM_10,,,,
05_2,FULLW,05_2_PM_11,,,,
05_2,FULLW,05_2_PM_12,,,,
05_2,FULLW,05_2_PM_13,,,,
05_2,FULLW,05_2_PM_14,,,,
06A_1,FULLW,06A_1_PM_1,,,,
06A_1,FULLW,06A_1_PM_2,,,,
06A_1,FULLW,06A_1_PM_3,,,,
06A_1,FULLW,06A_1_PM_4,,,,
06A_1,FULLW,06A_1_PM_5,,,,
06A_1,FULLW,06A_1_PM_6,,,,
06A_1,FULLW,06A_1_PM_7,,,,
06A_1,FULLW,06A_1_PM_8,,,,
06A_1,FULLW,06A_1_PM_9,,,,
06A_1,FULLW,06A_1_PM_10,,,,
06A_1,FULLW,06A_1_PM_11,,,,
06A_1,FULLW,06A_1_PM_12,,,,
06A_1,FULLW,06A_1_PM_13,,,,
06A_1,FULLW,06A_1_PM_14,,,,
06A_1,FULLW,06A_1_PM_15,,,,
06A_1,FULLW,06A_1_PM_16,,,,
06A_1,FULLW,06A_1_PM_17,,,,
06A_1,FULLW,06A_1_PM_18,,,,
06A_1,FULLW,06A_1_PM_19,,,,
06A_1,FULLW,06A_1_PM_20,,,,
06A_1,FULLW,06A_1_PM_21,,,,
06A_2,FULLW,06A_2_PM_1,,,,
06A_2,FULLW,06A_2_PM_2,,,,
06A_2,FULLW,06A_2_PM_3,,,,
06A_2,FULLW,06A_2_PM_4,,,,
06A_2,FULLW,06A_2_PM_5,,,,
06A_2,FULLW,06A_2_PM_6,,,,
06A_2,FULLW,06A_2_PM_7,,,,
06A_2,FULLW,06A_2_PM_8,,,,
06A_2,FULLW,06A_2_PM_9,,,,
06A_2,FULLW,06A_2_PM_10,,,,
06A_2,FULLW,06A_2_PM_11,,,,
06A_2,FULLW,06A_2_PM_12,,,,
06A_2,FULLW,06A_2_PM_13,,,,
06A_2,FULLW,06A_2_PM_14,,,,
06A_2,FULLW,06A_2_PM_15,,,,
06A_2,FULLW,06A_2_PM_16,,,,
06A_2,FULLW,06A_2_PM_17,,,,
06A_2,FULLW,06A_2_PM_18,,,,
06A_2,FULLW,06A_2_PM_19,,,,
06A_2,FULLW,06A_2_PM_20,,,,
06A_2,FULLW,06A_2_PM_21,,,,
06B_1,FULLW,06B_1_PM_1,,,,
06B_1,FULLW,06B_1_PM_2,,,,
06B_1,FULLW,06B_1_PM_3,,,,
06B_1,FULLW,06B_1_PM_4,,,,
06B_1,FULLW,06B_1_PM_5,,,,
06B_1,FULLW,06B_1_PM_6,,,,
06B_2,FULLW,06B_2_PM_1,,,,
06B_2,FULLW,06B_2_PM_2,,,,
06B_2,FULLW,06B_2_PM_3,,,,
06B_2,FULLW,06B_2_PM_4,,,,
06B_2,FULLW,06B_2_PM_5,,,,
06B_2,FULLW,06B_2_PM_6,,,,
06C_1,FULLW,06C_1_PM_1,,,,
06C_1,FULLW,06C_1_PM_2,,,,
06C_1,FULLW,06C_1_PM_3,,,,
06C_1,FULLW,06C_1_PM_4,,,,
06C_1,FULLW,06C_1_PM_5,,,,
06C_2,FULLW,06C_2_PM_1,,,,
06C_2,FULLW,06C_2_PM_2,,,,
06C_2,FULLW,06C_2_PM_3,,,,
06C_2,FULLW,06C_2_PM_4,,,,
06C_2,FULLW,06C_2_PM_5,,,,
06D_1,FULLW,06D_1_PM_1,,,,
06D_1,FULLW,06D_1_PM_2,,,,
06D_1,FULLW,06D_1_PM_3,,,,
06D_1,FULLW,06D_1_PM_4,,,,
06D_1,FULLW,06D_1_PM_5,,,,
06D_2,FULLW,06D_2_PM_1,,,,
06D_2,FULLW,06D_2_PM_2,,,,
06D_2,FULLW,06D_2_PM_3,,,,
06D_2,FULLW,06D_2_PM_4,,,,
06D_2,FULLW,06D_2_PM_5,,,,
06E_1,FULLW,06E_1_PM_1,,,,
06E_1,FULLW,06E_1_PM_2,,,,
06E_1,FULLW,06E_1_PM_3,,,,
06E_1,FULLW,06E_1_PM_4,,,,
06E_1,FULLW,06E_1_PM_5,,,,
06E_1,FULLW,06E_1_PM_6,,,,
06E_1,FULLW,06E_1_PM_7,,,,
06E_1,FULLW,06E_1_PM_8,,,,
06E_2,FULLW,06E_2_PM_1,,,,
06E_2,FULLW,06E_2_PM_2,,,,
06E_2,FULLW,06E_2_PM_3,,,,
06E_2,FULLW,06E_2_PM_4,,,,
06E_2,FULLW,06E_2_PM_5,,,,
07_1,FULLW,07_1_PM_1,,,,
07_1,FULLW,07_1_PM_2,,,,
07_1,FULLW,07_1_PM_3,,,,
07_1,FULLW,07_1_PM_4,,,,
07_1,FULLW,07_1_PM_5,,,,
07_1,FULLW,07_1_PM_6,,,,
07_1,FULLW,07_1_PM_7,,,,
07_1,FULLW,07_1_PM_8,,,,
07_1,FULLW,07_1_PM_9,,,,
07_1,FULLW,07_1_PM_10,,,,
07_1,FULLW,07_1_PM_11,,,,
07_1,FULLW,07_1_PM_12,,,,
07_1,FULLW,07_1_PM_13,,,,
07_1,FULLW,07_1_PM_14,,,,
07_1,FULLW,07_1_PM_15,,,,
07_1,FULLW,07_1_PM_16,,,,
07_1,FULLW,07_1_PM_17,,,,
07_1,FULLW,07_1_PM_18,,,,
07_1,FULLW,07_1_PM_19,,,,
07_1,FULLW,07_1_PM_20,,,,
07_1,FULLW,07_1_PM_21,,,,
07_1,FULLW,07_1_PM_22,,,,
07_1,FULLW,07_1_PM_23,,,,
07_2,FULLW,07_2_PM_1,,,,
07_2,FULLW,07_2_PM_2,,,,
07_2,FULLW,07_2_PM_3,,,,
07_2,FULLW,07_2_PM_4,,,,
07_2,FULLW,07_2_PM_5,,,,
07_2,FULLW,07_2_PM_6,,,,
07_2,FULLW,07_2_PM_7,,,,
07_2,FULLW,07_2_PM_8,,,,
07_2,FULLW,07_2_PM_9,,,,
07_2,FULLW,07_2_PM_10,,,,
07_2,FULLW,07_2_PM_11,,,,
07_2,FULLW,07_2_PM_12,,,,
07_2,FULLW,07_2_PM_13,,,,
07_2,FULLW,07_2_PM_14,,,,
07_2,FULLW,07_2_PM_15,,,,
07_2,FULLW,07_2_PM_16,,,,
07_2,FULLW,07_2_PM_17,,,,
07_2,FULLW,07_2_PM_18,,,,
07_2,FULLW,07_2_PM_19,,,,
07_2,FULLW,07_2_PM_20,,,,
07_2,FULLW,07_2_PM_21,,,,
07_2,FULLW,07_2_PM_22,,,,
07_2,FULLW,07_2_PM_23,,,,
08A_1,FULLW,08A_1_PM_1,,,,
08A_1,FULLW,08A_1_PM_2,,,,
08A_1,FULLW,08A_1_PM_3,,,,
08A_1,FULLW,08A_1_PM_4,,,,
08A_1,FULLW,08A_1_PM_5,,,,
08A_1,FULLW,08A_1_PM_6,,,,
08A_1,FULLW,08A_1_PM_7,,,,
08A_1,FULLW,08A_1_PM_8,,,,
08A_1,FULLW,08A_1_PM_9,,,,
08A_1,FULLW,08A_1_PM_10,,,,
08A_1,FULLW,08A_1_PM_11,,,,
08A_1,FULLW,08A_1_PM_12,,,,
08A_1,FULLW,08A_1_PM_13,,,,
08A_1,FULLW,08A_1_PM_14,,,,
08A_1,FULLW,08A_1_PM_15,,,,
08A_1,FULLW,08A_1_PM_16,,,,
08A_1,FULLW,08A_1_PM_17,,,,
08A_1,FULLW,08A_1_PM_18,,,,
08A_1,FULLW,08A_1_PM_19,,,,
08A_1,FULLW,08A_1_PM_20,,,,
08A_1,FULLW,08A_1_PM_21,,,,
08A_2,FULLW,08A_2_PM_1,,,,
08A_2,FULLW,08A_2_PM_2,,,,
08A_2,FULLW,08A_2_PM_3,,,,
08A_2,FULLW,08A_2_PM_4,,,,
08A_2,FULLW,08A_2_PM_5,,,,
08A_2,FULLW,08A_2_PM_6,,,,
08A_2,FULLW,08A_2_PM_7,,,,
08A_2,FULLW,08A_2_PM_8,,,,
08A_2,FULLW,08A_2_PM_9,,,,
08A_2,FULLW,08A_2_PM_10,,,,
08A_2,FULLW,08A_2_PM_11,,,,
08A_2,FULLW,08A_2_PM_12,,,,
08A_2,FULLW,08A_2_PM_13,,,,
08A_2,FULLW,08A_2_PM_14,,,,
08A_2,FULLW,08A_2_PM_15,,,,
08A_2,FULLW,08A_2_PM_16,,,,
08A_2,FULLW,08A_2_PM_17,,,,
08A_2,FULLW,08A_2_PM_18,,,,
08A_2,FULLW,08A_2_PM_19,,,,
08A_2,FULLW,08A_2_PM_20,,,,
08A_2,FULLW,08A_2_PM_21,,,,
08B_1,FULLW,08B_1_PM_1,,,,
08B_1,FULLW,08B_1_PM_2,,,,
08B_1,FULLW,08B_1_PM_3,,,,
08B_1,FULLW,08B_1_PM_4,,,,
08B_1,FULLW,08B_1_PM_5,,,,
08B_1,FULLW,08B_1_PM_6,,,,
08B_1,FULLW,08B_1_PM_7,,,,
08B_1,FULLW,08B_1_PM_8,,,,
08B_1,FULLW,08B_1_PM_9,,,,
08B_1,FULLW,08B_1_PM_10,,,,
08B_1,FULLW,08B_1_PM_11,,,,
08B_2,FULLW,08B_2_PM_1,,,,
08B_2,FULLW,08B_2_PM_2,,,,
08B_2,FULLW,08B_2_PM_3,,,,
08B_2,FULLW,08B_2_PM_4,,,,
08B_2,FULLW,08B_2_PM_5,,,,
08B_2,FULLW,08B_2_PM_6,,,,
08B_2,FULLW,08B_2_PM_7,,,,
08B_2,FULLW,08B_2_PM_8,,,,
08B_2,FULLW,08B_2_PM_9,,,,
08B_2,FULLW,08B_2_PM_10,,,,
08B_2,FULLW,08B_2_PM_11,,,,
09_1,FULLW,09_1_PM_1,,,,
09_1,FULLW,09_1_PM_2,,,,
09_1,FULLW,09_1_PM_3,,,,
09_1,FULLW,09_1_PM_4,,,,
09_1,FULLW,09_1_PM_5,,,,
09_1,FULLW,09_1_PM_6,,,,
09_1,FULLW,09_1_PM_7,,,,
09_1,FULLW,09_1_PM_8,,,,
09_1,FULLW,09_1_PM_9,,,,
09_1,FULLW,09_1_PM_10,,,,
09_1,FULLW,09_1_PM_11,,,,
09_1,FULLW,09_1_PM_12,,,,
