route_id,agency_id,route_short_name,route_long_name,route_color,route_text_color,route_type
line:224,network:1,318,Muret Gare SNCF / Lamasquère Mairie,007c52,ffffff,3
line:166,network:1,320,Portet Gare SNCF / Muret Sans Souci,0098d4,ffffff,3
line:217,network:1,321,Frouzins Tréville / Portet Gare SNCF,a0670f,ffffff,3
line:61,network:1,A,Basso Cambo / Balma - Gramont,db001b,ffffff,1
line:99,network:1,AERO,Navette Aéroport,e46809,ffffff,3
line:69,network:1,B,Borderouge / Ramonville,ffdd00,000000,1
line:108,network:1,CIMTR,Navette Cimetières,0098d4,ffffff,3
line:144,network:1,L1,Sept Deniers - Salvador Dali / Fonsegrives Entiore,ff671b,ffffff,3
line:145,network:1,L2,Arènes / Colomiers Lycée International,ff671b,ffffff,3
line:176,network:1,L3,Arènes / Plaisance Monestié,ff671b,ffffff,3
line:187,network:1,L4,Basso Cambo / Empalot,ff671b,ffffff,3
line:193,network:1,L5,Empalot / Portet Gare SNCF,ff671b,ffffff,3
line:170,network:1,L6,Ramonville / Castanet-Tolosan,ff671b,ffffff,3
line:172,network:1,L8,Marengo - SNCF / Gonin,ff671b,ffffff,3
line:174,network:1,L9,L'Union Grande Halle / Saint-Orens Centre Commercial,ff671b,ffffff,3
line:209,network:1,L10,La Vache / Fenouillet Centre Commercial - Entrée Nord,ff671b,ffffff,3
line:216,network:1,L11,Basso Cambo / Frouzins Complexe Sportif,ff671b,ffffff,3
line:264,network:1,L14,Basso Cambo / Marengo - SNCF,ff671b,ffffff,3
line:223,network:1,NVBOY,Navette Bonnefoy,00758d,ffffff,3
line:68,network:1,T1,Palais de Justice / MEETT,004687,ffffff,0
line:213,network:1,T1p,Palais de Justice / MEETT,004687,ffffff,3
line:204,network:1,TELEO,Université Paul Sabatier / Oncopole - Lise Enjalbert,dc006b,ffffff,6
line:107,network:1,VILLE,Navette Centre Ville,e675a7,ffffff,3
