stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
stop_point:SP_4413,70381,Drouet,43.452863686081926,1.3377088575259573,0,stop_area:SA_2143,2
stop_point:SP_4414,70061,Marclan,43.479641326722074,1.3327420910120056,0,stop_area:SA_2114,1
stop_point:SP_4415,70401,J. Lestrade,43.453721050427546,1.3327677173673123,0,stop_area:SA_2116,1
stop_point:SP_4416,70461,Genevoix,43.46661520061403,1.311131785880467,0,stop_area:SA_2124,1
stop_point:SP_4417,70021,3e R.Mat,43.4856226378244,1.3382547470997255,0,stop_area:SA_2115,2
stop_point:SP_4418,70001,Joffrery Nord,43.49095051113837,1.343500903636481,0,stop_area:SA_2145,2
stop_point:SP_4419,70451,Peyramont,43.464563501212865,1.315984639202329,0,stop_area:SA_2163,1
stop_point:SP_442,6520,Salinié,43.59346309628303,1.3804765004598438,0,stop_area:SA_839,2
stop_point:SP_4420,70491,Vierge,43.489441331348864,1.4075574180705548,0,stop_area:SA_2155,1
stop_point:SP_4421,70351,Vignous,43.45739695471242,1.333247291553299,0,stop_area:SA_2125,2
stop_point:SP_4422,13153,Muret Lycée,43.45472502921006,1.3305565363681342,0,stop_area:SA_1123,1
stop_point:SP_4423,19734,Colomiers Gare SNCF,43.60547088659632,1.335388055082658,0,stop_area:SA_713,1
stop_point:SP_4425,27002,Colomiers Lycée International,43.61757168338898,1.3086739836029695,0,stop_area:SA_90,1
stop_point:SP_4426,24580,Saint Julien,43.50993920174685,1.179052276924848,0,stop_area:SA_2174,1
stop_point:SP_4427,17181,Portes du Gers,43.52953482466849,1.2114519172839273,0,stop_area:SA_2177,1
stop_point:SP_4428,24581,Saint Julien,43.5096627213102,1.1788343508605785,0,stop_area:SA_2174,1
stop_point:SP_4429,24600,8 mai 1945,43.509710528489066,1.1735848500306396,0,stop_area:SA_2178,2
stop_point:SP_443,19900,Lycée International,43.61293100680628,1.3081328418358136,0,stop_area:SA_1471,1
stop_point:SP_4430,24591,Barrat,43.507613840695235,1.1751958397331292,0,stop_area:SA_2176,1
stop_point:SP_4431,24590,Barrat,43.50773087517634,1.1752132202033236,0,stop_area:SA_2176,1
stop_point:SP_4432,24601,8 mai 1945,43.509643124801386,1.173502245089446,0,stop_area:SA_2178,1
stop_point:SP_4433,24571,Eglise St Lys,43.514019525746086,1.1780976956496434,0,stop_area:SA_2175,1
stop_point:SP_4434,17180,Portes du Gers,43.529662943016625,1.2113258575083705,0,stop_area:SA_2177,1
stop_point:SP_4435,24570,Eglise St Lys,43.51402031248518,1.1779198337407066,0,stop_area:SA_2175,1
stop_point:SP_4436,27441,Sept Deniers - Salvador Dali,43.62643729195553,1.4110781351613477,0,stop_area:SA_2179,1
stop_point:SP_4437,3801,Ch. de Roques,43.62396725258703,1.4094069497453692,0,stop_area:SA_2180,2
stop_point:SP_4438,2160,Lully,43.619065671911926,1.4082506135133304,0,stop_area:SA_1147,1
stop_point:SP_4439,3101,Nougaro,43.621914680278564,1.408097830014619,0,stop_area:SA_2181,1
stop_point:SP_4440,3800,Ch. de Roques,43.62385943465375,1.409412414680018,0,stop_area:SA_2180,2
stop_point:SP_4441,900,Bois de Saget,43.663129943920644,1.4983265517788302,0,stop_area:SA_2182,1
stop_point:SP_4442,901,Bois de Saget,43.66305296850918,1.4977890699591183,0,stop_area:SA_2182,1
stop_point:SP_4444,13042,Seysses Gay,43.4950439291799,1.3068129912414972,0,stop_area:SA_854,1
stop_point:SP_4446,26955,Médiathèque Pavillon Blanc,43.60901587339084,1.336341463042389,0,stop_area:SA_1187,1
stop_point:SP_4447,3571,Pierre Mounicq,43.621159325466536,1.4058669011694538,0,stop_area:SA_62,2
stop_point:SP_4448,6231,Route de Blagnac,43.618443046409205,1.4073427144061115,0,stop_area:SA_1551,2
stop_point:SP_445,13830,Eglise Aucamville,43.66597355552736,1.430034171181741,0,stop_area:SA_1224,1
stop_point:SP_4450,26957,Médiathèque Pavillon Blanc,43.607805282105616,1.3364591752877344,0,stop_area:SA_1187,1
stop_point:SP_4452,26956,Médiathèque Pavillon Blanc,43.60823557634149,1.3366248170302042,0,stop_area:SA_1187,1
stop_point:SP_4456,16123,Oratoire,43.6092936088935,1.3506270697073177,0,stop_area:SA_1860,1
stop_point:SP_4457,2990,Virebent,43.65278575467867,1.4637956191519805,0,stop_area:SA_1485,1
stop_point:SP_4458,16122,Oratoire,43.60930486279029,1.3486104747919754,0,stop_area:SA_1860,1
stop_point:SP_446,29720,Aigrefeuille Ch. Baric,43.56919131287411,1.5940840695535525,0,stop_area:SA_1235,2
stop_point:SP_4466,13393,Fenouillet Ctre Cial - Entrée Sud,43.68705214832728,1.4039158450937725,0,stop_area:SA_851,1
stop_point:SP_4467,3100,Nougaro,43.62164261916721,1.4082371260227788,0,stop_area:SA_2181,1
stop_point:SP_4475,26210,Pont de Rupé,43.65711090090824,1.4111892068635312,0,stop_area:SA_2194,1
stop_point:SP_4476,26211,Pont de Rupé,43.655951309363786,1.4113974552239346,0,stop_area:SA_2194,2
stop_point:SP_4477,26221,Picarel,43.65018535188415,1.4134482014679501,0,stop_area:SA_2195,2
stop_point:SP_4478,26220,Picarel,43.65043934267208,1.4135072230044112,0,stop_area:SA_2195,2
stop_point:SP_4479,26350,Pôle,43.64548083487477,1.419291412307293,0,stop_area:SA_2196,2
stop_point:SP_4480,26241,Ginestous Chênes,43.658336718335875,1.4104214886363828,0,stop_area:SA_2197,1
stop_point:SP_4482,4590,Mermoz,43.58343479079014,1.4152648820152502,0,stop_area:SA_943,1
stop_point:SP_4483,2832,Fontaine Lestang,43.586287438548666,1.4200945132875162,0,stop_area:SA_4,2
stop_point:SP_4486,8291,ZA Triasis,43.658865264789576,1.4547460401920558,0,stop_area:SA_2201,1
stop_point:SP_4487,10772,Violette,43.659443524774076,1.47058256513043,0,stop_area:SA_1466,1
stop_point:SP_4488,8231,Tocqueville,43.65010888077844,1.456363289424098,0,stop_area:SA_1192,1
stop_point:SP_4489,8241,Collège de Paléficat,43.65398543310507,1.4587546723765246,0,stop_area:SA_2524,1
stop_point:SP_449,29271,Carovis,43.549480874238895,1.3834002262837282,0,stop_area:SA_819,2
stop_point:SP_4490,8221,Edmond Rostand,43.643507562297536,1.4556000065114292,0,stop_area:SA_2200,1
stop_point:SP_4491,8220,Edmond Rostand,43.643762044629675,1.4556121650996283,0,stop_area:SA_2200,1
stop_point:SP_4492,8290,ZA Triasis,43.65902899289124,1.4548722707512125,0,stop_area:SA_2201,1
stop_point:SP_4493,8240,Collège de Paléficat,43.65419860849388,1.459104221554474,0,stop_area:SA_2524,1
stop_point:SP_4494,10773,Violette,43.660078529682245,1.4706311086566213,0,stop_area:SA_1466,1
stop_point:SP_4495,8230,Tocqueville,43.65025699927142,1.4566704829096089,0,stop_area:SA_1192,1
stop_point:SP_45,10301,Antibes,43.64800969560061,1.4896560589191767,0,stop_area:SA_1684,2
stop_point:SP_450,21141,Electronique,43.71918217762531,1.3957769289712976,0,stop_area:SA_56,2
stop_point:SP_451,19270,Escalquens La Caprice,43.53145939214965,1.5522274649527794,0,stop_area:SA_1584,1
stop_point:SP_4517,20815,Borderouge,43.641587731178,1.4527568901615566,0,stop_area:SA_1298,2
stop_point:SP_4518,980,Barcelone,43.60684908469814,1.430058361035984,0,stop_area:SA_2215,1
stop_point:SP_452,6070,Rispet,43.648919219841424,1.43891743375683,0,stop_area:SA_716,1
stop_point:SP_4521,11200,Portet Gare SNCF,43.527080234982584,1.3884631125506082,0,stop_area:SA_647,1
stop_point:SP_4522,16730,Jean Jaurès,43.523847909654435,1.3989344415238227,0,stop_area:SA_2224,1
stop_point:SP_4523,70510,Les Vivans,43.44261148142388,1.3391534150098199,0,stop_area:SA_2217,1
stop_point:SP_4524,16745,Roques Charmes,43.49926769829587,1.356356302660602,0,stop_area:SA_2219,2
stop_point:SP_4525,70540,La Croix Blanche 2,43.4241760583222,1.360608221520351,0,stop_area:SA_2220,1
stop_point:SP_4526,11585,Acacias,43.501498195222524,1.3616804545227297,0,stop_area:SA_1185,1
stop_point:SP_4527,70550,Moulin D'Augé,43.42064649787945,1.3737688631209903,0,stop_area:SA_2225,2
stop_point:SP_4528,70500,Vernole,43.44858068135029,1.3364994895851312,0,stop_area:SA_2218,1
stop_point:SP_4529,16731,Jean Jaurès,43.52360855123329,1.3994200960769576,0,stop_area:SA_2224,1
stop_point:SP_453,2761,Fer à Cheval,43.592550588185,1.4354869957551224,0,stop_area:SA_189,1
stop_point:SP_4530,70551,Moulin D'Augé,43.42080043449934,1.373596120943299,0,stop_area:SA_2225,1
stop_point:SP_4531,70501,Vernole,43.44941618975966,1.3361727776476435,0,stop_area:SA_2218,1
stop_point:SP_4533,70531,La Croix Blanche 1,43.426503862329795,1.3573476296581486,0,stop_area:SA_2223,2
stop_point:SP_4534,11580,Acacias,43.50150719441756,1.3614827450467817,0,stop_area:SA_1185,1
stop_point:SP_4535,70511,Les Vivans,43.443645908545044,1.3389552887415892,0,stop_area:SA_2217,1
stop_point:SP_4536,70561,Eaunes Zac Du Mandarin,43.41916088876247,1.372662013301527,0,stop_area:SA_2221,2
stop_point:SP_4537,70520,Plaine Du Pitou,43.42851638793786,1.3539195439499319,0,stop_area:SA_2222,1
stop_point:SP_4538,70521,Plaine Du Pitou,43.428018466804645,1.355002163954451,0,stop_area:SA_2222,2
stop_point:SP_4539,70541,La Croix Blanche 2,43.424380742385274,1.3604838898086675,0,stop_area:SA_2220,1
stop_point:SP_454,18340,Mairie St-Orens,43.551888506954725,1.534065007001545,0,stop_area:SA_1314,1
stop_point:SP_4540,70530,La Croix Blanche 1,43.42574090658174,1.3582460489981634,0,stop_area:SA_2223,1
stop_point:SP_4541,70721,Bosc,43.45496300333878,1.3892738308768062,0,stop_area:SA_2238,1
stop_point:SP_4542,70771,Mones Del Pujol,43.464553226152496,1.32826865837081,0,stop_area:SA_2228,2
stop_point:SP_4543,70731,Lanasse,43.45774965863932,1.3815893492745464,0,stop_area:SA_2239,1
stop_point:SP_4544,70770,Mones Del Pujol,43.46487400066705,1.327586801734537,0,stop_area:SA_2228,2
stop_point:SP_4545,70740,Bescourade,43.45960551619199,1.3730943564274116,0,stop_area:SA_2229,1
stop_point:SP_4546,70231,Baïolvilla,43.416099647634475,1.313100903387462,0,stop_area:SA_2234,2
stop_point:SP_4547,70600,Cailhabat,43.46034703401065,1.397343960381135,0,stop_area:SA_2246,1
stop_point:SP_4548,70330,P. Mendès France,43.420477200327824,1.3163973018367425,0,stop_area:SA_2233,2
stop_point:SP_4549,70690,Condoumines,43.44829646255519,1.3964020500607106,0,stop_area:SA_2232,2
stop_point:SP_455,13890,Mariel,43.682075234204845,1.4211224959218776,0,stop_area:SA_1016,1
stop_point:SP_4550,70671,Village,43.45179488955705,1.4014197513080175,0,stop_area:SA_2236,2
stop_point:SP_4551,70660,L'Ayguière,43.455189036190724,1.4023031015646217,0,stop_area:SA_2235,1
stop_point:SP_4552,70681,Labarthette,43.4493448109044,1.4008911306672867,0,stop_area:SA_2245,2
stop_point:SP_4553,70361,Jean Dabadie,43.46088193423783,1.3446646880980373,0,stop_area:SA_2248,1
stop_point:SP_4554,70670,Village,43.451663177081734,1.401259064613899,0,stop_area:SA_2236,2
stop_point:SP_4555,70601,Cailhabat,43.46057558445015,1.3970650606267505,0,stop_area:SA_2246,1
stop_point:SP_4556,70581,Gare Pins Justaret,43.480188006863905,1.3988816594951143,0,stop_area:SA_2230,1
stop_point:SP_4557,70701,Campanules,43.45221094484646,1.3957307336542366,0,stop_area:SA_2241,2
stop_point:SP_4558,70691,Condoumines,43.448108042756466,1.3971600910432846,0,stop_area:SA_2232,2
stop_point:SP_4559,70271,Muret Estantens Eglise,43.41172364041707,1.3092218634865873,0,stop_area:SA_2242,2
stop_point:SP_456,20241,Rond-point de l'Espace,43.5465439706589,1.3881473502181918,0,stop_area:SA_421,1
stop_point:SP_4560,70570,Cros,43.48637811240135,1.4028498799780178,0,stop_area:SA_2226,1
stop_point:SP_4561,70331,P. Mendès France,43.420842014700085,1.3167693280276167,0,stop_area:SA_2233,2
stop_point:SP_4562,70750,Cupidou,43.45900225656653,1.3608787189325817,0,stop_area:SA_2247,2
stop_point:SP_4563,70711,Comminges,43.453707849753776,1.3929068655021484,0,stop_area:SA_2227,1
stop_point:SP_4564,11910,Jordanis,43.495908342055394,1.3985557920880891,0,stop_area:SA_2237,1
stop_point:SP_4565,70661,L'Ayguière,43.45518741988072,1.4024277333522188,0,stop_area:SA_2235,2
stop_point:SP_4566,70590,Cepette,43.476307780289055,1.3979234146962025,0,stop_area:SA_2231,1
stop_point:SP_4567,70230,Baïolvilla,43.41643917388095,1.3127964688137634,0,stop_area:SA_2234,2
stop_point:SP_4568,70680,Labarthette,43.44930149447259,1.4007672467894012,0,stop_area:SA_2245,1
stop_point:SP_4569,70650,Petits Champs,43.458754480011464,1.4009666333302482,0,stop_area:SA_2244,2
stop_point:SP_457,22320,Bellegarde,43.60772241158455,1.4454748663600783,0,stop_area:SA_273,1
stop_point:SP_4570,70720,Bosc,43.455310339725365,1.3886055669805437,0,stop_area:SA_2238,1
stop_point:SP_4571,70780,Justices,43.44911747990867,1.2973724805666407,0,stop_area:SA_2243,1
stop_point:SP_4572,70651,Petits Champs,43.45949004119944,1.4001822324063746,0,stop_area:SA_2244,2
stop_point:SP_4573,70571,Cros,43.486317773600376,1.4029397416467466,0,stop_area:SA_2226,1
stop_point:SP_4574,70710,Comminges,43.4537386917567,1.3930420623919946,0,stop_area:SA_2227,1
stop_point:SP_4575,11911,Jordanis,43.495790178402316,1.398920702507516,0,stop_area:SA_2237,1
